"","alpha v BMV - w/ CETES 364D","beta v BMV - w/ CETES 364D","r-squared","standar deviation","Sharpe Ratio - w/ CETES 364D"
"SURIPC BDF",6.88830623953808e-06,0.24137221341459,0.361472786575555,0.0768429802274302,0.0461143400306751
"SURIPC BF",-0.0150054716037321,0.237876328512644,0.361500972210074,0.0757403253933448,-0.15209889224166
"SURIPC BOE2",0.015265662080682,0.245272601120294,0.362098250471165,0.0780039196338464,0.24177614543614
"SURIPC BOE4",0.00915479616091512,0.243694738196334,0.361444515028045,0.0775734282691469,0.164044595560063
"SURPAT BDF",0.0302364494389286,0.322804783352561,0.473309013266939,0.0905471274711012,0.386166912024575
"SURPAT BOE1",0.0555095758068259,0.330403236631831,0.472694291039839,0.0926901891580531,0.651101986890474
"SURPAT BOE2",0.0491488608668787,0.328502676412646,0.472842067397887,0.0921531982709605,0.58557060076895
"SVIVE20 B",0.00902752967159639,0.123053859880907,0.336297789238688,0.0396844102102825,0.272917256841681
"SVIVE20 S",0.0247560403831829,0.12426695602617,0.33117078855166,0.0403419657244385,0.65878906349859
"SVIVE35 S",0.0218923808255428,0.126538007306483,0.418729607013789,0.037387659614074,0.635141722984085
"SVIVE50 S",0.00987850454601644,0.0948676796611754,0.436752759711142,0.0289190410449328,0.389658180069455
"VALMX20 B0",0.0208954261301589,0.259068653011288,0.388006895966868,0.0798343643356259,0.309282802358895
"VALMX20 B1",-0.000490461968414148,0.253530495945748,0.387238997393123,0.0782243724544366,0.0412193872483896
"VALMX20 B2",-0.00050081500389063,0.25373333999936,0.388012747203368,0.0782127756682942,0.0411311295840373
"VALMX24 B0",0.0229407706879422,0.205510966351983,0.214854362705199,0.0843630557872415,0.307622728847281
"VALMX24 B1",-0.0224790431329596,0.196266850614493,0.21387912324863,0.0807673513295218,-0.242712782683401
"VALMXA B0",0.0322657580942863,-0.0369020013282669,0.0213493348726669,0.0439967366928765,0.72107748657144
"VALMXA B1",0.0178928284101825,-0.0364346906275259,0.0213527785958989,0.0433880209824435,0.400086785339293
"VALMXA B2",0.0179015944029508,-0.0364738023536864,0.0213954297577351,0.043391162949935,0.400246630181765
"VALMXB B0",-0.00504587174745709,0.0658620340879283,0.271602041351734,0.0233134270382052,-0.175042341008458
"VALMXB B1",0.00468261981374406,-0.0169716694981754,0.0133472319432309,0.0243387338606953,0.182176470465043
"VALMXB B2",0.00468416474945279,-0.0169840479601363,0.0133708866126337,0.0243351665991578,0.182259208054294
"VALMXC B0",-0.00653370208573581,0.0183611823113032,0.0763935998395155,0.0159913383204138,-0.391753780749489
"VALMXC B1",-0.00869323078354835,-0.00351895234367173,0.00356073120871014,0.00973385675521254,-0.898389199236666
"VALMXC B2",-0.00869451635397383,-0.00350939228289903,0.00354072444670263,0.00973455430377702,-0.898442496261263
"VALUEV6 B",0.14046257317098,0.373273819728886,0.352864596097011,0.119883919872167,1.21727684161116
"VECTCR F",-0.0431520547457961,0.318555021099493,0.521875089587206,0.0858936453162607,-0.448047914654936
"VECTCR X",-0.0617372173953627,0.330806227261162,0.536741902088069,0.0880191658391756,-0.64633789204738
"VECTIND F",-0.000591382023060879,0.251247592906106,0.387494696652861,0.0773828992389595,0.0399311829340737
"VECTIND X",-0.000205188287805163,0.251233755115947,0.386928325145004,0.077432269806517,0.0448906081792233
"VECTPA F",-0.0134156043988502,0.364202644428705,0.639694272039689,0.0882386262044116,-0.0915604967293827
